"imageLink","price","productName","storeName"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/3/209dbd90-c2a0-418d-9a4b-3c73e7ab3f3f.jpg.webp?ect=4g","1190000","Infinix Itel Vision 1 Pro 3/32 RAM 3GB ROM 32GB GARANSI RESMI","Altec Cellular"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/9/976c06f9-c8b9-409b-9351-032bcf347caa.jpg.webp?ect=4g","425000","Nokia Feature Phone N-150 New 2020 Dual Sim Garansi Resmi","Indokom Store"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/10/ca30441f-caee-4b5b-b306-b05fe4ab9f1a.jpg.webp?ect=4g","1699000","Samsung Galaxy M12 3GB/32GB","Samsung Official Store"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/11/0593ace4-2065-4b87-861d-45b72bb3196b.jpg.webp?ect=4g","1325000","ADVAN G9 PRO 6/64 RAM 6GB ROM 64GB GARANSI RESMI 1 TAHUN","enterphone2"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/16/fd8e97fd-3a9d-49e9-9216-dec6ef670e2c.jpg.webp?ect=4g","2829000","Samsung Galaxy A22 4G 6/128 - Garansi Resmi SEIN","PRISMA ROXY"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/24/eba5b62f-0d2b-4efd-a9ba-c629d2b0e1fa.jpg.webp?ect=4g","3435000","Poco X3 Pro 6/128GB + 8/268GB Garansi Resmi","duniagadgetku"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/16/25d1e0fb-18fc-4989-b7ba-b4f4bc598be4.png.webp?ect=4g","5329000","Samsung Galaxy A72 8/128 8/256 Kamera 4K GB RAM 8 ROM 128 256 Resmi","SUPER_GADGET"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/2/e0aacb21-90b6-4414-b276-0127bd241a27.png.webp?ect=4g","18299000","IPhone 12 Pro Max Garansi Resmi Ibox","PT Pratama Sntra Semesta"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/19/b9dcac2e-3e41-465d-b4a8-f6ed69805772.jpg.webp?ect=4g","2499000","Infinix Note 10 Pro NFC 6/64 GB + 8/128 GB Garansi Resmi","duniagadgetku"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/5/c9384b3f-f94d-436f-b195-f2edf1e5bc8b.jpg.webp?ect=4g","3648000","SAMSUNG GALAXY A32 8/128 GARANSI RESMI","jikalaku"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/14/721df782-701c-4143-9f2f-a56a9382d03f.jpg.webp?ect=4g","6799000","Samsung Galaxy S20 FE 8/128GB Garansi Resmi SEIN","Rajaponsel Official"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/13/944ca255-4c9e-4e4c-b37b-293e5a8efed6.jpg.webp?ect=4g","3004000","Samsung Galaxy M32 8/128 GB Garansi Resmi","Gudang-HP"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/b2503cff-0ae0-47e4-841f-61a8963c8497.jpg.webp?ect=4g","1655000","Samsung Galaxy M12 3/32 GB Garansi Resmi SEIN","Gudang-HP"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/17/2a9abba9-acca-4f6a-b759-1a50e029b708.png.webp?ect=4g","4680000","SAMSUNG GALAXY M62 8/256 GB SAMSUNG M62 8/256 GB GARANSI RESMI SEIN","STR-STORE"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/16/1e44788a-dcbc-4069-9b6d-a3aa03f3deca.png.webp?ect=4g","4999000","Samsung Galaxy A52 8/128 8/256 GB Kamera 4K RAM 8 ROM 128 256 Resmi","SUPER_GADGET"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/20/db0a8b18-1415-4e8f-b6f5-5e63d925e3a7.jpg.webp?ect=4g","7022000","Vivo X60 6.56 Inch Display, Snapdragon 870,4300 mAh Battery","Evogad Official"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/16/a470e77e-f091-4f1b-ba06-111acca93c46.png.webp?ect=4g","1710000","Samsung M12 3/32 4/64 GB Mediatek Android RAM 3 4 ROM 32 64 Resmi SEIN","SUPER_GADGET"
